TIMESTAMP,NEE,VPD,USTAR,TA,SW_IN,H,LE
201501010030,0.529246,0.748714,0.131517,16.699560,-4.021555,-7.612148,-3.397973
201501010100,0.662264,0.652676,0.123362,16.120360,-3.587168,-6.231441,-3.626548
201501010130,0.214344,0.595981,0.042754,15.749160,-3.451004,-4.189510,-0.794514
201501010200,0.687789,0.524215,0.085496,15.189480,-3.521564,-4.903148,-1.632106
201501010230,0.016933,0.484297,0.062374,14.937340,-3.033485,-0.766943,0.056755
201501010300,0.025578,0.450817,0.049698,14.675620,-2.657979,-0.187620,0.079293
201501010330,-0.015543,0.445367,0.012764,14.653270,-2.337822,-1.595005,-0.202928
201501010400,0.020808,0.402349,0.021153,14.206170,-2.902768,-0.108954,0.200450
201501010430,0.192254,0.370808,0.102648,13.922720,-2.034440,1.461892,-0.172458
201501010500,-0.108402,0.356011,0.020829,13.819570,-1.137363,-0.217948,0.154572
201501010530,0.398283,0.328948,0.115028,13.432640,7.482707,-6.964156,-3.839434
201501010600,1.537389,0.292924,0.091717,13.073250,64.227070,-6.549578,-2.791448
201501010630,0.293180,0.359339,0.068721,13.807020,125.279900,4.787155,-0.467688
201501010700,-4.830165,0.447568,0.166068,14.683790,259.808900,-23.003605,1.373719
201501010730,-11.085826,0.704761,0.226850,17.007170,346.039600,29.661892,57.146972
201501010800,-6.318129,1.038728,0.265413,19.269350,472.026800,112.456165,77.081782
201501010830,-6.738768,1.403067,0.263077,21.400700,596.430500,171.384820,63.560824
201501010900,-3.496059,1.725952,0.291328,23.169880,660.410300,107.959634,104.848898
201501010930,-6.520850,2.058185,0.216994,24.779140,709.990600,346.219052,167.430320
201501011000,-8.273250,2.336514,0.380187,25.875400,783.485500,383.352155,134.741005
201501011030,-7.455083,2.689721,0.636520,26.725210,883.667200,354.399719,285.349725
201501011100,-5.137320,2.845536,0.784691,27.394960,958.411700,364.163947,145.702115
201501011130,-6.544854,2.977875,1.035968,28.157070,990.223100,454.325960,276.982409
201501011200,-4.526196,3.068933,0.806373,28.298820,916.770000,365.852325,118.653520
201501011230,-4.010836,3.287656,0.629500,28.907230,952.341000,352.117516,115.510231
201501011300,-9999.000000,3.098543,1.046492,28.930810,1006.424000,-9999.000000,-9999.000000
201501011330,-9999.000000,2.635322,1.289186,27.418580,768.488800,-9999.000000,-9999.000000
201501011400,-1.533466,2.354584,1.127057,26.099140,766.567300,259.077692,138.241124
201501011430,-2.423607,2.678327,1.074962,27.337100,928.130900,325.525427,159.342587
201501011500,-5.085068,2.899634,1.117995,28.222040,935.503700,559.953802,66.672326
201501011530,-9999.000000,2.933691,1.086222,28.035500,862.998200,-9999.000000,-9999.000000
201501011600,-2.353202,3.092668,1.226136,28.082400,542.218600,379.059388,93.236301
201501011630,-2.006389,3.410171,0.798254,28.995130,647.568800,219.120247,216.244550
201501011700,0.076405,3.242429,0.640041,28.514110,322.742600,96.278038,66.330273
201501011730,-2.292408,3.368727,0.597863,29.316360,463.322200,147.597149,45.855353
201501011800,-1.136265,3.408616,0.567803,29.369100,275.648100,115.097186,92.087091
201501011830,0.038309,3.538400,0.352841,29.931350,225.811000,52.858789,17.725353
201501011900,0.106425,3.331673,0.364031,29.190110,73.316590,16.116939,-71.495328
201501011930,0.644443,3.131689,0.154663,28.569100,50.203460,-5.614269,5.384950
201501012000,0.537291,2.981832,0.084030,27.997070,9.810557,-2.296617,-5.983625
201501012030,0.050113,2.816477,0.009046,27.356280,-3.508263,-1.376218,0.757084
201501012100,2.299381,2.661744,0.193525,26.644290,-3.422067,-35.309996,14.320699
201501012130,-2.042952,2.324797,0.055631,24.849210,-3.238736,7.765470,1.449941
201501012200,-9999.000000,2.277832,0.191681,24.485820,-1.832322,13.689658,-11.161534
201501012230,0.371560,1.917478,0.072264,23.269790,-4.287822,-1.810542,-12.419837
201501012300,1.392070,1.564609,0.133875,22.270120,-4.092913,-15.785875,-8.998490
201501012330,-9999.000000,1.194037,0.277458,21.057320,-4.166057,-9999.000000,-9999.000000
201501020000,1.803893,1.001981,0.170868,20.274330,-4.054693,-10.583607,-13.413791
201501020030,0.788139,0.856302,0.112276,19.574870,-3.811632,-7.904573,-4.131395
201501020100,1.338976,0.768632,0.188370,19.058700,-3.706502,-8.055361,-3.637480
201501020130,1.239314,0.682969,0.088395,18.425240,-3.871747,-6.327441,-1.816753
201501020200,0.718051,0.595302,0.063097,17.824060,-3.812608,-2.528914,0.682818
201501020230,0.024664,0.547382,0.040050,17.468450,-3.283816,-1.773802,-0.356605
201501020300,0.037760,0.527020,0.046827,17.267960,-3.069392,-1.241234,-0.154665
201501020330,0.171186,0.420424,0.069693,16.226030,-3.686920,2.793233,2.540355
201501020400,-0.036148,0.394497,0.034694,15.937470,-2.722280,-0.596810,0.552422
201501020430,-0.334032,0.388802,0.069360,15.882580,-2.081339,2.721386,0.037102
201501020500,-0.004403,0.355482,0.075919,15.600640,-1.943529,-0.818685,0.278815
201501020530,0.378359,0.359335,0.172081,15.746440,8.003765,6.719499,2.316988
201501020600,0.612309,0.382206,0.118538,15.963520,37.201080,-2.151701,3.026133
201501020630,1.757790,0.374868,0.104430,15.547340,143.379100,-5.402707,5.562772
201501020700,-3.315804,0.661388,0.163126,17.580540,243.269600,11.576929,38.619451
201501020730,-1.276383,1.154150,0.221874,20.661980,357.659800,-10.490074,100.452629
201501020800,-0.722896,1.897899,0.614467,24.088390,438.301300,16.070493,134.501624
201501020830,-5.924399,2.224336,0.989810,25.600680,566.056700,175.145320,86.302408
201501020900,-6.024219,2.417217,0.844275,26.741800,663.480500,207.835835,116.802625
201501020930,-5.136049,2.596584,0.764043,27.690720,755.963200,248.430094,97.977338
201501021000,-5.491629,2.929765,0.992267,29.072210,838.206800,420.192621,220.546526
201501021030,-3.845518,3.215727,0.896416,29.978110,912.989300,336.695013,102.654151
201501021100,-0.166101,3.510058,1.135557,30.904130,976.015200,346.178366,203.478004
201501021130,-0.044919,3.926067,1.208109,32.259040,1023.792000,508.156520,229.652294
201501021200,0.309791,4.192600,0.977227,32.926970,1054.542000,332.198402,85.022835
201501021230,0.265342,4.513412,1.158735,33.802450,1074.036000,438.928363,27.348460
201501021300,0.526834,4.798983,1.071114,34.625030,1076.707000,442.683096,91.663200
201501021330,2.116314,5.072709,0.973517,35.422020,1063.360000,430.663648,166.458530
201501021400,0.540208,5.318892,1.139179,36.055190,1033.366000,451.449302,41.935232
201501021430,0.643241,5.385346,0.951244,36.269910,990.480300,323.328209,30.028590
201501021500,0.071243,5.449508,0.894861,36.526970,929.084700,316.791934,-3.890547
201501021530,1.869012,5.445796,1.330684,36.574510,857.932600,482.209714,17.243011
201501021600,-0.669662,5.478483,0.996900,36.772040,772.056600,307.834306,62.749313
201501021630,-0.341666,5.657977,1.014663,37.295710,678.959600,348.776310,40.371485
201501021700,-0.741430,5.676300,0.792849,37.299410,578.670700,177.407760,19.432897
201501021730,1.142442,5.700291,0.914188,37.348530,475.103200,175.110581,49.128062
201501021800,1.451954,5.733506,0.826188,37.420640,365.091500,124.702358,62.483565
201501021830,1.192393,5.705501,0.688511,37.291170,217.945900,30.903916,31.294469
201501021900,1.643928,5.426500,0.398678,36.436550,66.765750,-23.611703,28.265957
201501021930,0.647609,5.186197,0.169444,35.749650,41.707180,-12.820185,6.824244
201501022000,0.332384,4.827538,0.113534,34.652360,0.164546,-6.286071,4.366465
201501022030,0.326320,4.594440,0.104774,33.803310,-5.309258,-8.715057,5.052283
201501022100,0.376918,4.423484,0.156478,33.152660,-4.996058,-14.441342,12.507747
201501022130,0.716172,4.337588,0.158745,32.788850,-4.850361,-22.604388,7.301209
201501022200,0.895755,4.287994,0.166246,32.574510,-4.962130,-23.201819,8.427002
201501022230,0.860701,4.133029,0.152912,31.995200,-5.170220,-22.229165,6.961140
201501022300,1.150929,3.998974,0.179703,31.475240,-4.311974,-31.615584,11.618023
201501022330,-9999.000000,3.840432,0.672888,30.929450,-4.522791,-9999.000000,-9999.000000
201501030000,-9999.000000,3.173958,1.348690,29.575580,-4.484143,-9999.000000,-9999.000000
201501030030,6.207123,2.814831,0.948413,28.723590,-4.507275,-55.651148,-22.038754
201501030100,4.100856,2.716372,0.929828,28.396730,-4.229926,-59.749713,31.555089
201501030130,3.584953,2.690021,0.857023,28.018910,-4.524368,-69.541840,23.286186
201501030200,4.076138,2.671149,0.854071,27.673450,-4.342624,-67.345085,13.339480
201501030230,3.582966,2.577410,0.766833,27.232630,-4.478914,-50.541273,-0.607573
201501030300,2.748151,2.447276,0.698683,26.688330,-4.371703,-45.668361,3.759776
201501030330,1.748342,2.291710,0.577921,25.989990,-4.357868,-31.995951,2.044880
201501030400,4.782644,2.147707,0.756088,25.339080,-3.937253,-48.066785,-19.106722
201501030430,3.937404,2.077706,0.911564,25.048110,-3.768567,-51.841988,2.506026
201501030500,4.621319,2.037659,0.970713,24.972880,-3.351420,-59.312677,12.429066
201501030530,2.586545,1.946860,0.629138,24.452000,7.864836,-29.000749,5.530649
201501030600,1.559700,1.885776,0.629157,24.208110,48.998640,-9.400050,-7.915814
201501030630,0.275797,1.874323,0.739133,24.346450,125.084500,19.008825,43.625598
201501030700,-1.999362,1.920724,0.908511,24.773670,232.488100,32.177902,27.714032
201501030730,-3.041494,1.993955,0.918048,25.283500,334.573100,92.955082,48.575043
201501030800,-4.260528,2.102534,0.985073,25.975800,438.783300,174.883174,73.644724
201501030830,-5.337987,2.216886,1.101038,26.692600,549.038300,291.424676,100.467475
201501030900,-4.554962,2.370622,0.798683,27.509460,645.629800,141.986814,30.763285
201501030930,-5.304090,2.505141,1.127548,28.162480,742.548500,253.627121,55.402074
201501031000,-4.452449,2.720058,1.371057,29.098980,825.839000,428.240739,83.172764
201501031030,-4.036548,2.931829,1.443616,30.084480,891.626200,562.868628,99.106971
201501031100,-2.759508,3.177513,1.255508,31.064520,961.153700,411.203940,62.228634
201501031130,-1.478549,3.449941,1.185673,32.053900,1004.499000,384.840443,52.757786
201501031200,-0.923512,3.648039,1.541529,32.704860,1047.689000,475.601311,35.326273
201501031230,-0.589009,3.926052,1.173237,33.538830,1040.231000,368.791990,23.376149
201501031300,-0.613261,4.324779,1.446421,34.628480,1035.333000,631.210521,35.618531
201501031330,-0.046663,4.547874,1.525026,35.189620,1056.122000,522.364375,-0.004598
201501031400,2.692806,4.759964,1.498062,35.682850,1029.085000,596.109076,76.291547
201501031430,1.158293,5.006401,1.370266,36.263730,923.269900,514.535723,46.718691
201501031500,0.550134,5.196101,1.211272,36.699620,765.790600,285.386076,16.018739
201501031530,1.870124,5.412728,1.404232,37.135480,698.436900,370.261191,76.668080
201501031600,2.215615,5.407001,1.406636,37.043770,557.178300,227.870523,49.802328
201501031630,2.832778,5.472554,1.403913,37.248420,650.748000,312.885167,39.251266
201501031700,2.509680,5.530136,1.265105,37.395330,523.991900,226.737984,6.194195
201501031730,3.606045,5.472513,-9999.000000,37.172820,287.340000,129.162970,-12.182109
201501031800,-9999.000000,5.367641,1.082638,36.996000,268.397100,-9999.000000,-9999.000000
201501031830,2.590171,5.272073,1.109680,36.721550,147.406800,1.366569,50.305746
201501031900,2.908544,5.047531,1.122627,36.158810,112.273000,2.045017,26.235064
201501031930,4.223766,4.825491,0.913254,35.473580,16.316220,-61.750725,33.430850
201501032000,-9999.000000,3.835670,0.598363,32.991490,-3.535558,-9999.000000,-9999.000000
201501032030,1.185032,2.957472,0.209321,30.324870,-2.558694,-20.051184,25.024250
201501032100,-1.902936,2.761945,1.120426,29.775160,-2.231709,-3.122758,9.745824
201501032130,4.115918,2.373583,0.920645,28.566710,-3.118470,-12.334871,1.814451
201501032200,3.321746,2.287826,0.741494,28.255610,-2.276234,-24.563974,20.217179
201501032230,1.756398,2.197392,1.014592,27.821280,-2.505329,11.460330,-9.474380
201501032300,3.196490,1.977769,1.004702,26.908960,-2.703441,-40.212601,23.927173
201501032330,3.432048,1.833805,0.770298,26.313940,-2.108340,-15.220164,13.537716
201501040000,3.144880,1.744352,0.575095,25.927040,-2.105662,-10.501734,6.819499
201501040030,3.663598,1.694759,0.536561,25.689610,-1.848317,-18.627052,9.042152
201501040100,5.560511,1.651367,0.497080,25.516720,-1.678035,-20.293662,4.611129
201501040130,-20.224573,1.541883,0.380273,25.130180,-3.302672,-32.979738,51.146308
201501040200,-9999.000000,1.350547,0.457409,24.427980,-5.445313,-9999.000000,-9999.000000
201501040230,-9999.000000,0.933902,0.334366,22.816960,-8.780694,-9999.000000,-9999.000000
201501040300,-9999.000000,0.555817,0.177530,21.206930,-2.824863,-9999.000000,-9999.000000
201501040330,-9999.000000,0.487436,0.296730,20.980620,-1.056076,-9999.000000,-9999.000000
201501040400,-9999.000000,0.480797,0.284412,20.974040,0.030171,-9999.000000,-9999.000000
201501040430,-9999.000000,0.639388,0.290840,21.739740,0.129432,-35.831360,34.473751
201501040500,-9999.000000,0.526435,0.132060,21.292160,0.054504,-8.333400,6.678515
201501040530,0.562252,0.483854,0.133889,21.198110,2.375426,-2.570289,3.028701
201501040600,-0.524967,0.475890,0.149556,21.194600,10.389660,-2.743788,-0.738026
201501040630,-1.467052,0.421185,0.144745,21.014440,25.313300,1.489475,-1.654254
201501040700,-9999.000000,0.432926,0.394704,21.149860,100.877700,-12.544821,32.852565
201501040730,19.056340,0.498647,0.817021,19.848520,157.614200,91.453033,244.343410
201501040800,3.407007,0.484528,0.734121,19.203500,255.857700,80.957862,89.439975
201501040830,-1.454859,0.492493,0.750265,19.143450,253.919900,68.975530,104.236900
201501040900,-4.507693,0.621885,1.071023,19.587990,477.666600,198.681159,202.938532
201501040930,-3.262088,0.665622,0.953920,19.735220,394.870100,115.854783,109.516727
201501041000,-5.194221,0.714438,0.885678,19.976300,440.785600,140.718003,110.499471
201501041030,-7.914787,0.772831,1.025018,20.365340,583.074900,269.631461,190.092751
201501041100,-10.002155,0.823066,1.005548,20.368860,642.546000,312.864817,142.666274
201501041130,-6.206019,0.864514,1.038055,20.423040,678.289900,255.009370,177.433104
201501041200,-7.390263,0.972273,0.985306,21.058860,869.551600,345.412098,159.320825
201501041230,-5.863141,1.093589,0.938033,21.678270,933.811900,296.519529,105.048454
201501041300,-6.129548,1.278419,0.955713,22.856980,994.593000,427.231392,147.171793
201501041330,-8.390320,1.457686,1.035165,23.796560,870.016400,320.668126,146.761148
201501041400,-7.976597,1.653920,0.694761,24.850450,942.823200,287.046729,110.474185
201501041430,-5.425104,1.735981,0.886995,25.233900,794.321700,326.296290,110.243592
201501041500,-4.617578,1.818803,0.958240,25.561760,774.290500,306.730851,115.176104
201501041530,-6.377451,1.897206,0.929091,25.852590,728.401900,280.328033,145.251300
201501041600,-5.645238,2.041009,0.798370,26.377170,648.633800,284.236675,113.122145
201501041630,-4.975290,2.079325,0.937014,26.471410,589.024500,248.685513,102.426178
201501041700,-4.008399,2.111449,0.770775,26.523690,428.004500,163.214124,80.045568
201501041730,-2.250479,2.188538,0.714688,26.873540,518.328400,116.175457,62.618047
201501041800,-2.771419,2.235780,0.767292,26.983270,445.116500,137.881413,57.222674
201501041830,-2.201510,2.112667,0.927296,26.083440,303.430200,165.743898,99.582228
201501041900,-0.888522,1.969365,0.981313,24.942300,194.636700,104.157926,101.530804
201501041930,0.662590,1.820921,0.882616,23.575240,70.617690,36.032504,49.941959
201501042000,2.541820,1.574246,0.939489,21.887620,5.186471,-42.663816,-3.340426
201501042030,2.502640,1.399533,0.752550,20.642840,-4.401581,-27.300671,26.130488
201501042100,-9999.000000,1.143575,0.765765,19.305320,-4.546766,-9999.000000,-9999.000000
201501042130,2.952077,0.952189,0.787553,18.178290,-4.394116,-30.954711,3.154032
201501042200,2.651892,0.926016,0.764219,17.497460,-4.178558,-22.283572,42.493631
201501042230,2.408862,0.951320,0.915600,16.936160,-4.134223,-14.766642,58.289354
201501042300,1.886613,0.909981,0.803862,16.291570,-3.999259,-24.880000,8.760903
201501042330,1.775000,0.845479,0.674813,15.721950,-4.071819,-9.589006,3.680486
201501050000,1.967038,0.776404,0.706287,15.222170,-3.989236,-31.534696,2.440418
201501050030,3.025790,0.734138,0.837048,14.878720,-3.680061,-33.312299,1.131776
201501050100,3.117674,0.671343,0.780172,14.527560,-3.561437,-19.190466,-6.587955
201501050130,1.668527,0.654298,0.624635,14.336270,-3.473308,-35.440797,3.419240
